PtName,County,State,Pt_Own,OwType,Dam_Own,CH_MW,CH_MWh,CH_Pf,CH_OpYr,lat,lon,stream_gauge_id
WoodlandMill,Washington,ME,Woodland Pulp LLC,Industrial,Woodland Pulp LLC,18.5,95205.73,58.74721091,1906,45.1580505,-67.4016571,1021000
Corriveau,Oxford,ME,"GREEN POWER USA, LLC",Industrial,"GREEN POWER USA, LLC",0.35,0,0,1985,45.1116295,-69.4487076,1031500
Errol Hydroelectric Project,Coos,NH,"Brookfield White Pine Hydro, LLC.",Wholesale Power Marketer,"Brookfield White Pine Hydro, LLC.",3,16827.82,64.03280061,1986,44.7865982,-71.1249008,1053500
Smith,Coos,NH,Public Service Co of NH,Investor-Owned Utility,Public Service Co of NH,15,103476.82,78.7494825,1948,44.4692993,-71.1783981,1054000
Cross Power,Coos,NH,Great Lakes Hydro America LLC,Wholesale Power Marketer,Great Lakes Hydro America LLC,3,13670.52291,52.01873253,1914,44.4569473,-71.1860657,1054000
Cascade,Coos,NH,Great Lakes Hydro America LLC,Wholesale Power Marketer,Great Lakes Hydro America LLC,7.9,35999.04367,52.01873254,1914,44.4491272,-71.1867142,1054000
Sawmill,Coos,NH,Great Lakes Hydro America LLC,Wholesale Power Marketer,Great Lakes Hydro America LLC,3.1,14126.20701,52.01873255,1914,44.4790421,-71.1679993,1054000
Riverside,Coos,NH,Great Lakes Hydro America LLC,Wholesale Power Marketer,Great Lakes Hydro America LLC,7.9,35999.04367,52.01873254,1914,44.4744987,-71.1699982,1054000
Pontook Hydro Facility,Coos,NH,Pontook Operating LP,Private Non-utility,Pontook Operating LP,10.5,61934.53,67.3347793,1986,44.6330986,-71.2483978,1054000
Ammonoosuc Water Treatment Plant,Coos,NH,City of Berlin,Publicly Owned Utility, ,0.021,85,46.20569689,0,44.4900017,-71.2201385,1054000
Rumford Falls Power,Oxford,ME,Brookfield Power New England,Wholesale Power Marketer,Brookfield Power New England,44.5,275141.27,70.58161972,1918,44.5425987,-70.5465012,1054500
Abbott's Mill,Oxford,ME,Abbott's Mills Hydro-Electric Company,Private Non-utility,Abbott's Mills Hydro-Electric Company,0.09,0,0,1985,44.4752007,-70.6296997,1054500
Days Mill,York,ME,James Quincy,Private Non-utility,James Quincy,0.03,0,0,1985,43.4575005,-70.6065979,1067950
Campton Hydro Station,Grafton,NH,Mad River Power Associates,Private Non-utility,Mad River Power Associates,0.639,1503.328,26.85646094,1985,43.8622017,-71.6324997,1076500
Lochmere Hydroelectric Plant,Belknap,NH,HDI Associates I,Private Non-utility,HDI Associates I,1.2,3740.67,35.58476027,1984,43.4730988,-71.5339966,1081000
Lakeport,Belknap,NH,Lakeport Hydroelectric Associates,Private Non-utility,Lakeport Hydroelectric Associates,0.705,2000,32.38446841,1983,43.5485992,-71.4654999,1081000
Avery,Belknap,NH,Ashuelot River Hydro Inc.,Private Non-utility,Ashuelot River Hydro Inc.,0.435,950,24.93045715,1986,43.5345001,-71.4681015,1081000
Noone Mills,Hillsborough,NH,The Cobbs LLC,Private Non-utility,The Cobbs LLC,0.15,0,0,1984,42.8596001,-71.9614029,1082000
Cheshire,Cheshire,NH,"D.D. Bean & Sons Company, Inc.",Industrial,"D.D. Bean & Sons Company, Inc.",0.1,482,55.02283105,1987,42.8170013,-72.0086975,1082000
Hosiery Mill,Hillsborough,NH,Hillsborough Hydroelectric LP,Private Non-utility,Hillsborough Hydroelectric LP,1.2,2036.96,19.37747336,1989,43.1133003,-71.8944016,1085000
Forster's Mill,Merrimack,NH,"Otter Lane Hydro, LLC",Private Non-utility,"Otter Lane Hydro, LLC",0.112,350,35.67351598,1984,43.3354988,-71.9529037,1086000
Gregg Falls,Hillsborough,NH,Gregg Falls Hydro Elec Assoc Ltd Ptnrsp,Private Non-utility,Gregg Falls Hydro Elec Assoc Ltd Ptnrsp,3.5,10703.18,34.90926288,1985,43.0168991,-71.5686035,1091500
Hadley Falls,Hillsborough,NH,New Hampshire Dept of Environmental,State,New Hampshire Dept of Environmental,0.25,0,0,1982,43.0185013,-71.5979004,1091500
Amoskeag,Hillsborough,NH,Public Service Co of NH,Investor-Owned Utility,Public Service Co of NH,16,89139.65,63.59849458,1922,43.0021019,-71.4719009,1092000
Hooksett,Merrimack,NH,Public Service Co of NH,Investor-Owned Utility,Public Service Co of NH,1.6,7790.18,55.58062215,1927,43.1013985,-71.4665985,1092000
Waterloom Falls,Hillsborough,NH,"TRIDAM ENERGY, LLC",Private Non-utility,"TRIDAM ENERGY, LLC",0.15,0,0,1981,42.7496986,-71.8367004,1094000
Otis Falls,Hillsborough,NH,"TRIDAM ENERGY, LLC",Private Non-utility,"TRIDAM ENERGY, LLC",0.2,360,20.54794521,1983,42.7669983,-71.8125,1094000
Chamberlain Falls,Hillsborough,NH,"TRIDAM ENERGY, LLC",Private Non-utility,"TRIDAM ENERGY, LLC",0.13,380,33.36845803,1984,42.7687988,-71.8108978,1094000
Pepperell Hydro Power Plant,Middlesex,MA,"Swift River Hydro Operations Co., Inc",Private Non-utility,"Swift River Hydro Operations Co., Inc",2.2,5114.69,26.53948734,1920,42.6651993,-71.5757751,1096500
Centennial Island,Middlesex,MA,Centennial Island Hydroelectric Company,Private Non-utility,Centennial Island Hydroelectric Company,0.64,0,0,1990,42.6292992,-71.2984009,1099500
Boott Hydropower,Middlesex,MA,Boott Hydropower Inc,Private Non-utility,Boott Hydropower Inc,22.9,86298.5,43.01933162,1985,42.6481018,-71.3087006,1100000
Swamp Locks,Middlesex,MA,"Boott Hydropower, Inc. & Eldred L. Field Hydroelectric Facility Trust",Private Non-utility,"Boott Hydropower, Inc. & Eldred L. Field Hydroelectric Facility Trust",1.975,0,0,1985,42.6418991,-71.3160019,1100000
Lower Pawtucket Locks,Middlesex,MA,"Boott Hydropower, Inc. & Eldred L. Field Hydroelectric Facility Trust",Private Non-utility,"Boott Hydropower, Inc. & Eldred L. Field Hydroelectric Facility Trust",5.94,0,0,1985,42.6441994,-71.3076019,1100000
Russell Mill Pond,Plymouth,MA,Michael & Janice Goodman,Private Non-utility,Michael & Janice Goodman,0.015,78.84,60,1983,41.9171982,-70.6269989,1105876
Central Falls,Providence,RI,"Gelardin/Bruner/Cott, Inc.",Private Non-utility,"Gelardin/Bruner/Cott, Inc.",0.7,4761,77.64187867,1983,41.9011002,-71.389801,1113895
Still River,Windham,CT,Richard G. Mackowiak,Private Non-utility,Richard G. Mackowiak,0.0374,132.688,40.50008546,2000,41.8755989,-72.0854034,1120790
Old Sturbridge Village,Worcester,MA,Old Sturbridge Village,Private Non-utility,Old Sturbridge Village,0.068,0,0,1982,42.1064987,-72.0945969,1123600
West Dudley,Worcester,MA,"A & D Hydro, Inc.",Private Non-utility,"A & D Hydro, Inc.",0.346,0,0,1984,42.0500984,-71.9816971,1124000
North Village Pond,Worcester,MA,"Webster Hydro Electric Company, Inc.",Private Non-utility,"Webster Hydro Electric Company, Inc.",0.4,0,0,1916,42.0633011,-71.8806992,1125100
Putnam,Windham,CT,"Putnam Hydropower, Inc.",Private Non-utility,"Putnam Hydropower, Inc.",0.55,2000,41.51100042,1923,41.9216995,-71.9089966,1125500
Toutant,Windham,CT,"Energy Stream, LLC.",Private Non-utility,"Energy Stream, LLC.",0.4,2200,62.78538813,1989,41.9230995,-71.9072037,1125500
Cargill Falls,Windham,CT,"Putnam Green Power, LLC",Private Non-utility,"Putnam Green Power, LLC",0.875,2523,32.91585127,2016,41.9232788,-71.9065247,1125500
Wyre - Wynd,New London,CT,"Aspinook Hydro, LLC",Private Non-utility,"Aspinook Hydro, LLC",2.78,11000,45.16934398,1984,41.6097984,-71.9856033,1127000
Gilman Mill,Essex,VT,Ampersand Gilman Hydro LP,Private Non-utility,Ampersand Gilman Hydro LP,4.8,19667.24,46.7733067,1941,44.4098015,-71.7176971,1131500
Emerson Falls,Caledonia,VT,Emerson Falls Hydro Associates,Private Non-utility,Emerson Falls Hydro Associates,0.25,800,36.52968037,1985,44.4350014,-72.0389023,1135300
Gage,Caledonia,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,0.7,0,0,1921,44.3970985,-72.0241013,1135500
Passumpsic,Caledonia,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,0.7,0,0,1929,44.3745995,-72.0263977,1135500
Wells River,Orange,VT,Boltonville Hydro Associates,Private Non-utility,Boltonville Hydro Associates,1.1,4571.85,47.44551681,1984,44.1707993,-72.0998993,1139000
Killington,Rutland,VT,Killington Hydroelectric Company,Private Non-utility,Killington Hydroelectric Company,0.1,350,39.9543379,1985,43.6801987,-72.7875977,1150900
North Hartland,Windsor,VT,Vermont Electric Coop Inc,Cooperative,CENAE,4,0,0,1985,43.6050987,-72.3597031,1151500
Deweys Mill,Windsor,VT,Hydro Energies Inc,Private Non-utility,US Army Corps of Engineers - NAE,3,5891.58,22.41849315,1989,43.6404991,-72.4067001,1151500
Taftsville,Windsor,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,0.5,0,0,1943,43.6311989,-72.4685974,1151500
Downers Mill,Windsor,VT,"Simon Pearce (U.S.), Inc.",Private Non-utility,"Simon Pearce (U.S.), Inc.",0.4,0,0,1983,43.6455002,-72.4194031,1151500
Sunapee,Sullivan,NH,"Town of Sunapee, NH",Publicly Owned Utility,"Town of Sunapee, NH",0.6,0,0,1985,43.3855019,-72.0820007,1152010
Lower Village Water Power Project,Sullivan,NH,GREEN MOUNTAIN POWER CORP      (VT),Investor-Owned Utility,GREEN MOUNTAIN POWER CORP      (VT),1.2,1958.75,18.63346651,1995,43.3744011,-72.3468018,1152500
Lower Village,Sullivan,NH,"SUGAR RIVER POWER, LLC",Private Non-utility,"SUGAR RIVER POWER, LLC",1.35,4600,38.89734483,1995,43.3744011,-72.3494034,1152500
Cavendish,Windsor,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,1.7,5622.82,37.75731937,1907,43.3810005,-72.5988007,1153000
Nash Mill,Cheshire,NH,"Marlow Hydro, LLC",Private Non-utility,"Marlow Hydro, LLC",0.212,474,25.52339106,1984,43.0978012,-72.1998978,1157000
Hunts Pond,Worcester,MA,"O'Connell Engineering & Financial, Inc.",Private Non-utility,"O'Connell Engineering & Financial, Inc.",0.12,0,0,1986,42.6791,-72.0477982,1162000
Tannery Pond,Worcester,MA,"French River Land Company, Inc.",Private Non-utility,"French River Land Company, Inc.",0.189,650,39.25974246,2000,42.6804008,-72.0538025,1162000
New Home,Franklin,MA,Mini-Watt Hydroelectric LLC,Private Non-utility,Mini-Watt Hydroelectric LLC,0.415,0,0,1940,42.5894012,-72.3100967,1166500
Cresticon Upper,Worcester,MA,L.P. Athol Corporation,Private Non-utility,L.P. Athol Corporation,0.25,0,0,1931,42.5960999,-72.2192001,1166500
Cresticon Lower,Worcester,MA,L.P. Athol Corporation,Private Non-utility,L.P. Athol Corporation,0.25,0,0,1931,42.5965004,-72.2205963,1166500
Crescent Street,Worcester,MA,L.S. Starrett Company,Industrial,L.S. Starrett Company,0.448,1729.2,44.06188845,2014,42.5948143,-72.2265472,1166500
Deerfield No. 2,Franklin,MA,"GREAT RIVER HYDRO, LLC.",Wholesale Power Marketer,"GREAT RIVER HYDRO, LLC.",4.8,22363.35,53.18528824,1913,42.5730019,-72.7070999,1170000
Deerfield No. 3,Franklin,MA,"GREAT RIVER HYDRO, LLC.",Wholesale Power Marketer,"GREAT RIVER HYDRO, LLC.",4.8,24963.47,59.36898307,1912,42.6016998,-72.7378998,1170000
